key,type,event,cores,title,name,description,cluster,class,devtype_basic,display,units,rendering_type,series_composition,mode,devtype_name,hide_by_default,average_cores,average_selection,multiplier,color,percentage,derived,activity1,activity_color1,proc,from_ftrace,regex,tracepoint,
0x180,ARMv8_Cortex_A53_cnt1,0x8,6,Instructions (Executed),All,The counter increments for every architecturally executed instruction.,0,DELTA,cpu,ACCUMULATE,instructions,filled,stacked,per-core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
0x182,ARMv8_Cortex_A53_cnt2,0x6,6,Instructions (Executed),Load,The counter increments for every executed memory-reading instruction.,0,DELTA,cpu,ACCUMULATE,instructions,filled,stacked,per-core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
0x4,ARM_Mali-CONST_BUS_WIDTH_BITS,-,1,Mali Constants,Bus Width Bits,-,-,CONSTANT,gpu,ACCUMULATE,-,filled,stacked,per-core,Mali-CONST,yes,-,-,-,-,-,-,-,-,-,-,-,-,
0x184,ARMv8_Cortex_A53_cnt3,0x3,6,L1 Data Cache,Refill,The counter counts each access counted by 'L1 Data Cache: Access' that causes a demand refill of at least the Level 1 data or unified cache from outside the Level 1 cache. Each access to a cache line that causes a new linefill is counted. including those from instructions that generate multiple accesses. such as load or store multiples. and PUSH and POP instructions. In particular. the counter counts accesses to the Level 1 cache that cause a refill that is satisfied by another Level 1 data or unified cache. or a Level 2 cache. or memory. A refill includes any access that causes data to be fetched from outside the cache. even if the data is ultimately not allocated into the cache. For example. data might be fetched into a buffer but then discarded. rather than being allocated into a cache. These buffers are treated as part of the cache.,0,DELTA,cpu,ACCUMULATE,-,filled,stacked,per-core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
0x186,ARMv8_Cortex_A53_cnt4,0x17,6,L2 Data Cache,Refill,The counter counts each access counted by 'L2 Data Cache: Access' that causes a refill of any of the Level 1 or Level 2 caches from outside the Level 1 and Level 2 caches of the PE. A refill includes any access that causes data to be fetched from outside the cache. even if the data is ultimately not allocated into the cache. For example. data might be fetched into a buffer but then discarded. rather than being allocated into a cache. These buffers are treated as part of the cache.,0,DELTA,cpu,ACCUMULATE,-,filled,stacked,per-core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
0x6,ARM_Mali-CONST_L2_SLICE_COUNT,-,1,Mali Constants,L2 Slice Count,-,-,CONSTANT,gpu,ACCUMULATE,-,filled,stacked,per-core,Mali-CONST,yes,-,-,-,-,-,-,-,-,-,-,-,-,
0x188,ARMv8_Cortex_A53_cnt5,0x13,6,Memory,Access,The counter counts memory read operations and memory write operations that the PE made. The counter increments whether the access results in an access to a Level 1 data or unified cache. a Level 2 data or unified cache. or neither of these.,0,DELTA,cpu,ACCUMULATE,-,filled,stacked,per-core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
0x8,ARM_Mali-CONST_SHADER_CORE_COUNT,-,1,Mali Constants,Shader Core Count,-,-,CONSTANT,gpu,ACCUMULATE,-,filled,stacked,per-core,Mali-CONST,yes,-,-,-,-,-,-,-,-,-,-,-,-,
0x18a,ARMv8_Cortex_A72_ccnt,0x11,6,Cycles,CPU Cycles,The counter increments on every cycle.,1,DELTA,cpu,HERTZ,Hz,filled,stacked,per-core,-,-,yes,yes,-,-,-,-,-,-,-,-,-,-,
0x18c,ARMv8_Cortex_A72_cnt0,0x8,6,Instructions (Executed),All,The counter increments for every architecturally executed instruction.,1,DELTA,cpu,ACCUMULATE,instructions,filled,stacked,per-core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
0xe,ARM_Mali-T86x_GPU_ACTIVE,-,1,Mali Job Manager Cycles,GPU cycles,Number of cycles GPU active,-,DELTA,gpu,ACCUMULATE,cycles,filled,stacked,per-core,Mali-T86x,-,-,-,-,-,-,-,-,-,-,-,-,-,
0x18e,ARMv8_Cortex_A72_cnt1,0x72,6,Instructions (Speculated),Load/Store,As 'Instructions (Speculated): All'. but the counter counts only memory-reading and memory-writing instructions. as defined by the 'Instructions (Executed): Load' and 'Instructions (Executed): Store' events.,1,DELTA,cpu,ACCUMULATE,instructions,filled,stacked,per-core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
